Ledger ID,Chapter,Battlefield Function,NPC,CR,Role,Class Lens,Faction,Mechanic Family,Actual Spells,Text File
BLM-073,01_Dark_Elves,Ambushers and Hunters,Red Etiquette Shadow,10,Ambusher,Rogue (Assassin),Red Etiquette / Nereza,vulnerability and execution,No,VTT_Statblocks/01_Dark_Elves/Ambushers_and_Hunters/Red_Etiquette_Shadow.txt
BLM-074,01_Dark_Elves,Ambushers and Hunters,Gloamwarden Deep Stalker,11,Skirmisher,Ranger (Gloom Stalker),Gloamwardens,transformation and stance,No,VTT_Statblocks/01_Dark_Elves/Ambushers_and_Hunters/Gloamwarden_Deep_Stalker.txt
BLM-075,01_Dark_Elves,Arcanists and Underlight Shapers,Argent Conservatory Adept,5,Artillery,Wizard (School of Evocation),Argent Conservatory,spell disruption,Yes,VTT_Statblocks/01_Dark_Elves/Arcanists_and_Underlight_Shapers/Argent_Conservatory_Adept.txt
BLM-076,01_Dark_Elves,Arcanists and Underlight Shapers,Perfumed Root Tender,7,Support,Druid (Circle of the Land),Perfumed Root / Orphira,terrain and access,Yes,VTT_Statblocks/01_Dark_Elves/Arcanists_and_Underlight_Shapers/Perfumed_Root_Tender.txt
BLM-077,01_Dark_Elves,Arcanists and Underlight Shapers,Choir-Below Hexer,10,Controller,Warlock (Great Old One Patron),Choir Below Speech / Vaelith,vulnerability and execution,No,VTT_Statblocks/01_Dark_Elves/Arcanists_and_Underlight_Shapers/Choir_Below_Hexer.txt
BLM-078,01_Dark_Elves,Arcanists and Underlight Shapers,Black Mirror Theurge,13,Controller,Wizard (School of Divination),Remembered Faces / Maelith,externalised engine,Yes,VTT_Statblocks/01_Dark_Elves/Arcanists_and_Underlight_Shapers/Black_Mirror_Theurge.txt
BLM-079,01_Dark_Elves,Arcanists and Underlight Shapers,Cultivated Shape Warden,14,Brute,Druid (Circle of the Moon),Perfumed Root / Orphira,transformation and stance,Yes,VTT_Statblocks/01_Dark_Elves/Arcanists_and_Underlight_Shapers/Cultivated_Shape_Warden.txt
BLM-080,01_Dark_Elves,Arcanists and Underlight Shapers,Arch-Reflector of Seven Lives,24,Controller,Wizard (School of Divination),Remembered Faces / Maelith,pursuit and escape,No,VTT_Statblocks/01_Dark_Elves/Arcanists_and_Underlight_Shapers/Arch_Reflector_of_Seven_Lives.txt
BLM-081,02_Grey_Dwarves,Compact Functionaries and Support,Tally-Priest Novice,1,Social,Cleric (Varkhul Novice),Low Compact / Varkhul,resource and debt,No,VTT_Statblocks/02_Grey_Dwarves/Compact_Functionaries_and_Support/Tally_Priest_Novice.txt
BLM-082,02_Grey_Dwarves,Compact Functionaries and Support,Toll-Oath Paladin of Varkhul,8,Leader,Paladin (Oath of the Crown),Low Compact / Varkhul,terrain and access,No,VTT_Statblocks/02_Grey_Dwarves/Compact_Functionaries_and_Support/Toll_Oath_Paladin_of_Varkhul.txt
BLM-083,02_Grey_Dwarves,Compact Functionaries and Support,Quiet Keeper Exorcist,9,Support,Cleric (Grave Domain),Mordtor / Kept Guard,identity and recognition,No,VTT_Statblocks/02_Grey_Dwarves/Compact_Functionaries_and_Support/Quiet_Keeper_Exorcist.txt
BLM-084,02_Grey_Dwarves,Compact Functionaries and Support,Contract Cantor,14,Leader,Bard (College of Eloquence),Low Compact / Varkhul,resource and debt,No,VTT_Statblocks/02_Grey_Dwarves/Compact_Functionaries_and_Support/Contract_Cantor.txt
BLM-085,02_Grey_Dwarves,Compact Functionaries and Support,Executor of the Low Compact,25,Leader,Paladin (Oath of Conquest),Low Compact / Varkhul,vulnerability and execution,No,VTT_Statblocks/02_Grey_Dwarves/Compact_Functionaries_and_Support/Executor_of_the_Low_Compact.txt
BLM-086,02_Grey_Dwarves,Iron Line Soldiers and Brutes,Hold Levy,1/4,Soldier,Fighter (Guard),Generic Hold / Low Compact,spell disruption,No,VTT_Statblocks/02_Grey_Dwarves/Iron_Line_Soldiers_and_Brutes/Hold_Levy.txt
BLM-087,02_Grey_Dwarves,Iron Line Soldiers and Brutes,Stonewall Battlemaster,8,Soldier,Fighter (Battle Master),Gertmur / Stonewall,terrain and access,No,VTT_Statblocks/02_Grey_Dwarves/Iron_Line_Soldiers_and_Brutes/Stonewall_Battlemaster.txt
BLM-088,02_Grey_Dwarves,Iron Line Soldiers and Brutes,Ashen Burden Zealot,9,Brute,Barbarian (Path of the Zealot),Dhurhald / Ashen Burden,healing and triage,No,VTT_Statblocks/02_Grey_Dwarves/Iron_Line_Soldiers_and_Brutes/Ashen_Burden_Zealot.txt
BLM-089,02_Grey_Dwarves,Iron Line Soldiers and Brutes,Red Chain Cavalier,17,Leader,Fighter (Cavalier),Kathgrun / Red Chain,resource and debt,No,VTT_Statblocks/02_Grey_Dwarves/Iron_Line_Soldiers_and_Brutes/Red_Chain_Cavalier.txt
BLM-090,02_Grey_Dwarves,Iron Line Soldiers and Brutes,Justiciar of the Shut Door,19,Soldier,Paladin (Oath of the Crown),Low Compact / Varkhul,terrain and access,No,VTT_Statblocks/02_Grey_Dwarves/Iron_Line_Soldiers_and_Brutes/Justiciar_of_the_Shut_Door.txt
BLM-091,02_Grey_Dwarves,Hidden Blades and Road Hunters,Unseen Blade Cutpurse,3,Ambusher,Rogue (Thief),Glomgrun / Unseen Blades,vulnerability and execution,No,VTT_Statblocks/02_Grey_Dwarves/Hidden_Blades_and_Road_Hunters/Unseen_Blade_Cutpurse.txt
BLM-092,02_Grey_Dwarves,Hidden Blades and Road Hunters,Riftcutter Scout,10,Skirmisher,Rogue (Scout),Riftcutters,information and prediction,No,VTT_Statblocks/02_Grey_Dwarves/Hidden_Blades_and_Road_Hunters/Riftcutter_Scout.txt
BLM-093,02_Grey_Dwarves,Hidden Blades and Road Hunters,Low Road Pursuer,13,Skirmisher,Ranger (Hunter),Low Compact / Varkhul,pursuit and escape,No,VTT_Statblocks/02_Grey_Dwarves/Hidden_Blades_and_Road_Hunters/Low_Road_Pursuer.txt
BLM-094,02_Grey_Dwarves,Hidden Blades and Road Hunters,Null Choir Mind-Fist,15,Controller,Monk (Way of the Astral Self),Kyrnvrak / Null Choir,spell disruption,No,VTT_Statblocks/02_Grey_Dwarves/Hidden_Blades_and_Road_Hunters/Null_Choir_Mind_Fist.txt
BLM-095,02_Grey_Dwarves,Forge and Underlight Arcanists,Cinder Savant,5,Artillery,Wizard (School of Evocation),Khurraz Forge Cult,forced movement,No,VTT_Statblocks/02_Grey_Dwarves/Forge_and_Underlight_Arcanists/Cinder_Savant.txt
BLM-096,02_Grey_Dwarves,Forge and Underlight Arcanists,Muir Circle Breath-Keeper,7,Support,Druid (Circle of Spores),Muirkeld / Breath Wardens,defence and attrition,No,VTT_Statblocks/02_Grey_Dwarves/Forge_and_Underlight_Arcanists/Muir_Circle_Breath_Keeper.txt
BLM-097,02_Grey_Dwarves,Forge and Underlight Arcanists,Nhalga's Spore Warden,10,Controller,Druid (Circle of Spores),Muirkeld / Breath Wardens,transformation and stance,Yes,VTT_Statblocks/02_Grey_Dwarves/Forge_and_Underlight_Arcanists/Nhalga_s_Spore_Warden.txt
BLM-098,02_Grey_Dwarves,Forge and Underlight Arcanists,Furnace Column Evoker,11,Artillery,Wizard (School of Evocation),Fyrwerk / Furnace Columns,formation and interposition,Yes,VTT_Statblocks/02_Grey_Dwarves/Forge_and_Underlight_Arcanists/Furnace_Column_Evoker.txt
BLM-099,02_Grey_Dwarves,Forge and Underlight Arcanists,Kept Ancestor Pact-Bearer,12,Controller,Warlock (Undead Patron),Mordtor / Kept Guard,pursuit and escape,Yes,VTT_Statblocks/02_Grey_Dwarves/Forge_and_Underlight_Arcanists/Kept_Ancestor_Pact_Bearer.txt
BLM-100,02_Grey_Dwarves,Forge and Underlight Arcanists,Khurraz Dead-Forge Archmage,22,Artillery,Wizard (School of Abjuration),Khurraz Forge Cult,defence and attrition,Yes,VTT_Statblocks/02_Grey_Dwarves/Forge_and_Underlight_Arcanists/Khurraz_Dead_Forge_Archmage.txt
BLM-101,03_Deepwatch_Dwarves,Gate Watch - Soldiers and Defenders,Penitent Door Recruit,1/8,Soldier,Fighter (Recruit),Gate Watch,identity and recognition,No,VTT_Statblocks/03_Deepwatch_Dwarves/Gate_Watch_Soldiers_and_Defenders/Penitent_Door_Recruit.txt
BLM-102,03_Deepwatch_Dwarves,Gate Watch - Soldiers and Defenders,Black Watch Guard,8,Soldier,Fighter (Battle Master),Gate Watch,terrain and access,No,VTT_Statblocks/03_Deepwatch_Dwarves/Gate_Watch_Soldiers_and_Defenders/Black_Watch_Guard.txt
BLM-103,03_Deepwatch_Dwarves,Gate Watch - Soldiers and Defenders,Gate Watch Oathshield,8,Leader,Paladin (Oath of the Crown),Gate Watch,terrain and access,Yes,VTT_Statblocks/03_Deepwatch_Dwarves/Gate_Watch_Soldiers_and_Defenders/Gate_Watch_Oathshield.txt
BLM-104,03_Deepwatch_Dwarves,Gate Watch - Soldiers and Defenders,Black Watch Breach Captain,15,Leader,Fighter (Battle Master),Gate Watch,terrain and access,No,VTT_Statblocks/03_Deepwatch_Dwarves/Gate_Watch_Soldiers_and_Defenders/Black_Watch_Breach_Captain.txt
BLM-105,03_Deepwatch_Dwarves,Gate Watch - Soldiers and Defenders,Dain of the Black,19,Leader,Paladin (Oath of the Watchers),Gate Watch,vulnerability and execution,No,VTT_Statblocks/03_Deepwatch_Dwarves/Gate_Watch_Soldiers_and_Defenders/Dain_of_the_Black.txt
BLM-106,03_Deepwatch_Dwarves,Road Watch - Scouts and Skirmishers,Gate Watch Lockrunner,3,Skirmisher,Rogue (Thief),Gate Watch,pursuit and escape,No,VTT_Statblocks/03_Deepwatch_Dwarves/Road_Watch_Scouts_and_Skirmishers/Gate_Watch_Lockrunner.txt
BLM-107,03_Deepwatch_Dwarves,Road Watch - Scouts and Skirmishers,Road Watch Trailwarden,5,Skirmisher,Ranger (Hunter),Road Watch,terrain and access,No,VTT_Statblocks/03_Deepwatch_Dwarves/Road_Watch_Scouts_and_Skirmishers/Road_Watch_Trailwarden.txt
BLM-108,03_Deepwatch_Dwarves,Road Watch - Scouts and Skirmishers,Road Watch Gloomrunner,10,Ambusher,Rogue (Scout),Road Watch,terrain and access,No,VTT_Statblocks/03_Deepwatch_Dwarves/Road_Watch_Scouts_and_Skirmishers/Road_Watch_Gloomrunner.txt
BLM-109,03_Deepwatch_Dwarves,Road Watch - Scouts and Skirmishers,Osk of the Black,13,Leader,Ranger (Gloom Stalker),Road Watch,terrain and access,No,VTT_Statblocks/03_Deepwatch_Dwarves/Road_Watch_Scouts_and_Skirmishers/Osk_of_the_Black.txt
BLM-110,03_Deepwatch_Dwarves,Fang Watch - Brutes and Hunters,Fang Watch Rager,9,Brute,Barbarian (Path of the Beast),Fang Watch,vulnerability and execution,No,VTT_Statblocks/03_Deepwatch_Dwarves/Fang_Watch_Brutes_and_Hunters/Fang_Watch_Rager.txt
BLM-111,03_Deepwatch_Dwarves,Fang Watch - Brutes and Hunters,Fang Watch Monster-Slayer,11,Skirmisher,Ranger (Monster Slayer),Fang Watch,vulnerability and execution,Yes,VTT_Statblocks/03_Deepwatch_Dwarves/Fang_Watch_Brutes_and_Hunters/Fang_Watch_Monster_Slayer.txt
BLM-112,03_Deepwatch_Dwarves,Fang Watch - Brutes and Hunters,Morn of the Black,12,Soldier,Fighter (Champion),Fang Watch,vulnerability and execution,No,VTT_Statblocks/03_Deepwatch_Dwarves/Fang_Watch_Brutes_and_Hunters/Morn_of_the_Black.txt
BLM-113,03_Deepwatch_Dwarves,Lantern Watch - Controllers and Support,Black Ledger Acolyte,1,Support,Cleric (Grave Domain),Lantern Watch,resource and debt,No,VTT_Statblocks/03_Deepwatch_Dwarves/Lantern_Watch_Controllers_and_Support/Black_Ledger_Acolyte.txt
BLM-114,03_Deepwatch_Dwarves,Lantern Watch - Controllers and Support,Low Garden Mist-Tender,7,Support,Druid (Circle of the Land),Lantern Watch,formation and interposition,Yes,VTT_Statblocks/03_Deepwatch_Dwarves/Lantern_Watch_Controllers_and_Support/Low_Garden_Mist_Tender.txt
BLM-115,03_Deepwatch_Dwarves,Lantern Watch - Controllers and Support,Kelda's Field Chirurgeon,9,Support,Cleric (Life Domain),Lantern Watch,healing and triage,No,VTT_Statblocks/03_Deepwatch_Dwarves/Lantern_Watch_Controllers_and_Support/Kelda_s_Field_Chirurgeon.txt
BLM-116,03_Deepwatch_Dwarves,Lantern Watch - Controllers and Support,Lantern Watch Runecaster,10,Controller,Wizard (School of Abjuration),Lantern Watch,resource and debt,No,VTT_Statblocks/03_Deepwatch_Dwarves/Lantern_Watch_Controllers_and_Support/Lantern_Watch_Runecaster.txt
BLM-117,03_Deepwatch_Dwarves,Lantern Watch - Controllers and Support,High Stonesinger Orva,14,Leader,Cleric (Forge Domain),Lantern Watch,terrain and access,No,VTT_Statblocks/03_Deepwatch_Dwarves/Lantern_Watch_Controllers_and_Support/High_Stonesinger_Orva.txt
BLM-118,03_Deepwatch_Dwarves,Lantern Watch - Controllers and Support,Kelda of the Black,17,Support,Druid (Circle of Spores),Lantern Watch,transformation and stance,Yes,VTT_Statblocks/03_Deepwatch_Dwarves/Lantern_Watch_Controllers_and_Support/Kelda_of_the_Black.txt
BLM-119,03_Deepwatch_Dwarves,Lantern Watch - Controllers and Support,Maw Door Runelord,22,Controller,Wizard (School of Abjuration),Lantern Watch,terrain and access,Yes,VTT_Statblocks/03_Deepwatch_Dwarves/Lantern_Watch_Controllers_and_Support/Maw_Door_Runelord.txt
BLM-120,03_Deepwatch_Dwarves,Lantern Watch - Controllers and Support,Black Clan Marshal,24,Leader,Fighter (Banneret),Deepwatch High Command,terrain and access,No,VTT_Statblocks/03_Deepwatch_Dwarves/Lantern_Watch_Controllers_and_Support/Black_Clan_Marshal.txt
