Ledger ID,Chapter,Battlefield Function,NPC,CR,Role,Class Lens,Faction,Mechanic Family,Actual Spells,Text File
BLM-014,01_Dark_Elves,Controllers and Specialists,Red Vintage Exactor,17,Brute,Fighter / martial leader,Unwithering Court / Velisara,spell disruption,No,VTT_Statblocks/01_Dark_Elves/Red_Vintage_Exactor.txt
BLM-015,01_Dark_Elves,Legendary Figures,"Vaelira Oryndrael, First Custodian",20,Legendary Leader,Fighter / martial leader,Orydness Custodianship,formation and interposition,No,VTT_Statblocks/01_Dark_Elves/Vaelira_Oryndrael_First_Custodian.txt
BLM-016,01_Dark_Elves,Legendary Figures,The Faceless Host,24,Legendary Solo,Original monster-style profession,Faceless Host,identity and recognition,No,VTT_Statblocks/01_Dark_Elves/The_Faceless_Host.txt
BLM-017,02_Grey_Dwarves,Hold Functionaries,Grey Dwarf Debt Clerk,1/4,Controller,Expert / technical specialist,Low Compact / Varkhul,resource and debt,No,VTT_Statblocks/02_Grey_Dwarves/Grey_Dwarf_Debt_Clerk.txt
BLM-018,02_Grey_Dwarves,Soldiers and Thralls,Grey Dwarf Pit Levy,1,Brute,Fighter / martial leader,Generic Hold / Low Compact,forced movement,No,VTT_Statblocks/02_Grey_Dwarves/Grey_Dwarf_Pit_Levy.txt
BLM-019,02_Grey_Dwarves,Hold Functionaries,Grey Dwarf Chain Overseer,4,Leader,Fighter / martial leader,Kathgrun / Red Chain,transformation and stance,No,VTT_Statblocks/02_Grey_Dwarves/Grey_Dwarf_Chain_Overseer.txt
BLM-020,02_Grey_Dwarves,Soldiers and Thralls,Grey Dwarf Breath Warden,6,Soldier,Fighter / martial leader,Muirkeld / Breath Wardens,formation and interposition,No,VTT_Statblocks/02_Grey_Dwarves/Grey_Dwarf_Breath_Warden.txt
BLM-021,02_Grey_Dwarves,Scouts and Assault Troops,Unseen Blade Saboteur,8,Ambusher,Rogue / infiltrator,Glomgrun / Unseen Blades,vulnerability and execution,No,VTT_Statblocks/02_Grey_Dwarves/Unseen_Blade_Saboteur.txt
BLM-022,02_Grey_Dwarves,Soldiers and Thralls,Red Chain Hookguard,9,Soldier,Fighter / martial leader,Kathgrun / Red Chain,transformation and stance,No,VTT_Statblocks/02_Grey_Dwarves/Red_Chain_Hookguard.txt
BLM-023,02_Grey_Dwarves,Forge and Siege Crews,Furnace Column Engineer,9,Artillery,Expert / technical specialist,Fyrwerk / Furnace Columns,externalised engine,No,VTT_Statblocks/02_Grey_Dwarves/Furnace_Column_Engineer.txt
BLM-024,02_Grey_Dwarves,Psykers and Binders,Veiled Cohort Dreamer,10,Controller,Wizard or warlock / supernatural controller,Draunkeld / Veiled Cohorts,information and prediction,No,VTT_Statblocks/02_Grey_Dwarves/Veiled_Cohort_Dreamer.txt
BLM-025,02_Grey_Dwarves,Soldiers and Thralls,Kept Guard Ancestor-Bearer,11,Soldier,Fighter / martial leader,Mordtor / Kept Guard,delayed threat,No,VTT_Statblocks/02_Grey_Dwarves/Kept_Guard_Ancestor_Bearer.txt
BLM-026,02_Grey_Dwarves,Scouts and Assault Troops,Grey Dwarf Riftcutter,12,Skirmisher,Rogue / infiltrator,Riftcutters,terrain and access,No,VTT_Statblocks/02_Grey_Dwarves/Grey_Dwarf_Riftcutter.txt
BLM-027,02_Grey_Dwarves,Psykers and Binders,Ashen Burden Gravitor,13,Brute,Wizard or warlock / supernatural controller,Dhurhald / Ashen Burden,command and allied tempo,No,VTT_Statblocks/02_Grey_Dwarves/Ashen_Burden_Gravitor.txt
BLM-028,02_Grey_Dwarves,Soldiers and Thralls,Grey Dwarf Shardguard,14,Soldier,Fighter / martial leader,Kyrnhald / Black Shard Host,terrain and access,No,VTT_Statblocks/02_Grey_Dwarves/Grey_Dwarf_Shardguard.txt
BLM-029,02_Grey_Dwarves,Psykers and Binders,Null Choir Void-Singer,15,Controller,Wizard or warlock / supernatural controller,Kyrnvrak / Null Choir,spell disruption,No,VTT_Statblocks/02_Grey_Dwarves/Null_Choir_Void_Singer.txt
BLM-030,02_Grey_Dwarves,Legendary Masters,Dur Kathma Bluthald,18,Legendary Leader,Fighter / martial leader,Kathgrun / Red Chain,command and allied tempo,No,VTT_Statblocks/02_Grey_Dwarves/Dur_Kathma_Bluthald.txt
BLM-031,02_Grey_Dwarves,Legendary Masters,Zhurdur Kyrnla Voidscar,21,Legendary Controller,Wizard or warlock / supernatural controller,Kyrnvrak / Null Choir,spell disruption,No,VTT_Statblocks/02_Grey_Dwarves/Zhurdur_Kyrnla_Voidscar.txt
BLM-032,02_Grey_Dwarves,Legendary Masters,Valdur Skargrun Darkshard,25,Legendary Solo,Fighter / martial leader,Kyrnhald / Black Shard Host,terrain and access,No,VTT_Statblocks/02_Grey_Dwarves/Valdur_Skargrun_Darkshard.txt
BLM-033,03_Deepwatch_Dwarves,Expedition Specialists,Deepwatch Lamplighter,1/8,Support,Cleric / support,Deepwatch Expedition Corps,terrain and access,No,VTT_Statblocks/03_Deepwatch_Dwarves/Deepwatch_Lamplighter.txt
BLM-034,03_Deepwatch_Dwarves,Expedition Specialists,Deepwatch Delver-Cartographer,1/2,Artillery,Expert / technical specialist,Deepwatch Expedition Corps,information and prediction,No,VTT_Statblocks/03_Deepwatch_Dwarves/Deepwatch_Delver_Cartographer.txt
BLM-035,03_Deepwatch_Dwarves,Guards and Reclaimers,Deepwatch Roadwarden,3,Soldier,Fighter / martial leader,Deepwatch Reclaimers,terrain and access,No,VTT_Statblocks/03_Deepwatch_Dwarves/Deepwatch_Roadwarden.txt
BLM-036,03_Deepwatch_Dwarves,Scouts and Siege Hands,Deepwatch Tunnel Sapper,6,Artillery,Expert / technical specialist,Deepwatch Expedition Corps,delayed threat,No,VTT_Statblocks/03_Deepwatch_Dwarves/Deepwatch_Tunnel_Sapper.txt
BLM-037,03_Deepwatch_Dwarves,Expedition Specialists,Deepwatch Miasma Medic,8,Support,Druid / field specialist,Deepwatch Expedition Corps,information and prediction,Yes,VTT_Statblocks/03_Deepwatch_Dwarves/Deepwatch_Miasma_Medic.txt
BLM-038,03_Deepwatch_Dwarves,Guards and Reclaimers,Deepwatch Watchshield Veteran,8,Soldier,Fighter / martial leader,Deepwatch Reclaimers,formation and interposition,No,VTT_Statblocks/03_Deepwatch_Dwarves/Deepwatch_Watchshield_Veteran.txt
BLM-039,03_Deepwatch_Dwarves,Scouts and Siege Hands,Deepwatch Wandering Seeker,9,Skirmisher,Ranger / scout,Deepwatch Expedition Corps,information and prediction,No,VTT_Statblocks/03_Deepwatch_Dwarves/Deepwatch_Wandering_Seeker.txt
BLM-040,03_Deepwatch_Dwarves,Scouts and Siege Hands,Deepwatch Darkroad Marksman,10,Artillery,Ranger / scout,Deepwatch Expedition Corps,formation and interposition,No,VTT_Statblocks/03_Deepwatch_Dwarves/Deepwatch_Darkroad_Marksman.txt
BLM-041,03_Deepwatch_Dwarves,Guards and Reclaimers,Dweraki-Bound Sentinel,11,Soldier,Fighter / martial leader,Dweraki Covenant,forced movement,No,VTT_Statblocks/03_Deepwatch_Dwarves/Dweraki_Bound_Sentinel.txt
BLM-042,03_Deepwatch_Dwarves,Scouts and Siege Hands,Song-Tunnel Cantor,12,Controller,Bard / social controller,Deepwatch Expedition Corps,terrain and access,Yes,VTT_Statblocks/03_Deepwatch_Dwarves/Song_Tunnel_Cantor.txt
BLM-043,03_Deepwatch_Dwarves,Expedition Specialists,Deepwatch Runebridge Engineer,13,Controller,Expert / technical specialist,Deepwatch Expedition Corps,pursuit and escape,No,VTT_Statblocks/03_Deepwatch_Dwarves/Deepwatch_Runebridge_Engineer.txt
BLM-044,03_Deepwatch_Dwarves,Guards and Reclaimers,Deepwatch Hold Reclaimer,14,Soldier,Fighter / martial leader,Deepwatch Reclaimers,terrain and access,No,VTT_Statblocks/03_Deepwatch_Dwarves/Deepwatch_Hold_Reclaimer.txt
BLM-045,03_Deepwatch_Dwarves,Commanders and Legends,Deepwatch Captain,15,Leader,Fighter / martial leader,Deepwatch High Command,pursuit and escape,No,VTT_Statblocks/03_Deepwatch_Dwarves/Deepwatch_Captain.txt
BLM-046,03_Deepwatch_Dwarves,Commanders and Legends,Axebound Paragon,17,Brute,Fighter / martial leader,Dweraki Covenant,spell disruption,No,VTT_Statblocks/03_Deepwatch_Dwarves/Axebound_Paragon.txt
BLM-047,03_Deepwatch_Dwarves,Commanders and Legends,Last Gate Castellan,20,Legendary Soldier,Fighter / martial leader,Deepwatch High Command,terrain and access,No,VTT_Statblocks/03_Deepwatch_Dwarves/Last_Gate_Castellan.txt
BLM-048,03_Deepwatch_Dwarves,Commanders and Legends,High Warden of the Deepwatch,23,Legendary Leader,Fighter / martial leader,Deepwatch High Command,terrain and access,No,VTT_Statblocks/03_Deepwatch_Dwarves/High_Warden_of_the_Deepwatch.txt
BLM-049,04_Adventuring_Parties,The Lanterns of the Last Road,Anja Copperveil,5,Support,Fighter / martial leader,Lanterns of the Last Road,healing and triage,No,VTT_Statblocks/04_Adventuring_Parties/01_Lanterns_of_the_Last_Road/Anja_Copperveil.txt
BLM-050,04_Adventuring_Parties,The Lanterns of the Last Road,Lethan Vale,7,Controller,Wizard / supernatural specialist,Lanterns of the Last Road,formation and interposition,Yes,VTT_Statblocks/04_Adventuring_Parties/01_Lanterns_of_the_Last_Road/Lethan_Vale.txt
BLM-051,04_Adventuring_Parties,The Lanterns of the Last Road,Gertla Broken-Chain,8,Brute,Fighter / martial leader,Lanterns of the Last Road,pursuit and escape,No,VTT_Statblocks/04_Adventuring_Parties/01_Lanterns_of_the_Last_Road/Gertla_Broken_Chain.txt
BLM-052,04_Adventuring_Parties,The Lanterns of the Last Road,Ryn Ashglass,9,Skirmisher,Wizard / supernatural specialist,Lanterns of the Last Road,pursuit and escape,Yes,VTT_Statblocks/04_Adventuring_Parties/01_Lanterns_of_the_Last_Road/Ryn_Ashglass.txt
BLM-053,04_Adventuring_Parties,The Blackglass Compact,Vael Ravel,10,Soldier,Fighter / martial leader,Blackglass Compact,resource and debt,No,VTT_Statblocks/04_Adventuring_Parties/02_Blackglass_Compact/Vael_Ravel.txt
BLM-054,04_Adventuring_Parties,The Blackglass Compact,Kathdrin Nullmark,11,Controller,Wizard / supernatural specialist,Blackglass Compact,spell disruption,Yes,VTT_Statblocks/04_Adventuring_Parties/02_Blackglass_Compact/Kathdrin_Nullmark.txt
BLM-055,04_Adventuring_Parties,The Blackglass Compact,Borin Deepkey,12,Controller,Wizard / supernatural specialist,Blackglass Compact,terrain and access,Yes,VTT_Statblocks/04_Adventuring_Parties/02_Blackglass_Compact/Borin_Deepkey.txt
BLM-056,04_Adventuring_Parties,The Blackglass Compact,Selyra Pell,13,Support,Wizard / supernatural specialist,Blackglass Compact,healing and triage,Yes,VTT_Statblocks/04_Adventuring_Parties/02_Blackglass_Compact/Selyra_Pell.txt
BLM-057,04_Adventuring_Parties,The Chainbreak Accord,Ysra Threadcutter,14,Controller,Wizard / supernatural specialist,Chainbreak Accord,delayed threat,Yes,VTT_Statblocks/04_Adventuring_Parties/03_Chainbreak_Accord/Ysra_Threadcutter.txt
BLM-058,04_Adventuring_Parties,The Chainbreak Accord,Dharak Ashmantle,15,Soldier,Fighter / martial leader,Chainbreak Accord,terrain and access,No,VTT_Statblocks/04_Adventuring_Parties/03_Chainbreak_Accord/Dharak_Ashmantle.txt
BLM-059,04_Adventuring_Parties,The Chainbreak Accord,Muirhild Openchain,18,Brute,Fighter / martial leader,Chainbreak Accord,defence and attrition,No,VTT_Statblocks/04_Adventuring_Parties/03_Chainbreak_Accord/Muirhild_Openchain.txt
BLM-060,04_Adventuring_Parties,The Chainbreak Accord,"Olyr, the Last Lantern",22,Legendary Support,Wizard / supernatural specialist,Chainbreak Accord,terrain and access,Yes,VTT_Statblocks/04_Adventuring_Parties/03_Chainbreak_Accord/Olyr_the_Last_Lantern.txt
